symptoms,label
"sensitivity to light, headache, stiff neck, high fever",Meningitis
"muscle pain, fatigue, sore throat",Flu
"cough, muscle pain, fever, chills",Flu
"headache, facial pain",Sinusitis
"light sensitivity, vomiting",Migraine
"sneezing, runny nose, mild headache",Common Cold
"sensitivity to light, stiff neck, headache",Meningitis
"dry cough, high fever, shortness of breath, fatigue, loss of taste",COVID-19
"night sweats, persistent cough, chest pain",Tuberculosis
"loss of appetite, fatigue",Chickenpox
"high fever, sensitivity to light, headache",Meningitis
"fever, cough",Pneumonia
"rash, joint pain, high fever, muscle pain",Dengue
"fatigue, dry cough",COVID-19
"loss of taste, dry cough, shortness of breath",COVID-19
"persistent cough, weight loss",Tuberculosis
"chest discomfort, persistent cough with mucus",Bronchitis
"headache, high fever, stiff neck, sensitivity to light",Meningitis
"dizziness, vomiting, headache",Migraine
"fatigue, high fever, shortness of breath, loss of taste",COVID-19
"fever, muscle pain, chills, cough",Flu
"sore throat, sneezing, runny nose",Common Cold
"headache, vomiting, light sensitivity, nausea",Migraine
"abdominal pain, diarrhea, fever, nausea",Gastroenteritis
"rash, loss of appetite, fever, fatigue",Chickenpox
"fever, rash, fatigue",Chickenpox
"itchy eyes, nasal congestion, runny nose",Allergic Rhinitis
"facial pain, headache",Sinusitis
"joint pain, high fever, headache",Dengue
"headache, high fever, sweats, chills",Malaria
"rash, fatigue",Chickenpox
"nausea, abdominal pain, diarrhea",Gastroenteritis
"nasal congestion, facial pain",Sinusitis
"joint pain, high fever, headache",Dengue
"persistent cough with mucus, chest discomfort",Bronchitis
"dizziness, vomiting, nausea",Migraine
"chest pain, cough, fever",Pneumonia
"mild headache, runny nose, sneezing",Common Cold
"persistent cough with mucus, chest discomfort, fatigue",Bronchitis
"chest discomfort, persistent cough with mucus",Bronchitis
"runny nose, mild headache, sneezing",Common Cold
"sore throat, muscle pain, chills, fever, fatigue",Flu
"persistent cough with mucus, chest discomfort, fatigue",Bronchitis
"fatigue, cough, muscle pain, sore throat, chills",Flu
"cough, chest pain, fever, shortness of breath",Pneumonia
"shortness of breath, wheezing, chest tightness",Asthma
"abdominal pain, diarrhea, nausea, vomiting, fever",Gastroenteritis
"high fever, headache",Dengue
"shortness of breath, coughing",Asthma
"fatigue, high fever, loss of taste",COVID-19
"vomiting, fever, abdominal pain",Gastroenteritis
"loss of appetite, fever",Chickenpox
"nasal congestion, sneezing",Allergic Rhinitis
"fatigue, dry cough, high fever, loss of taste, shortness of breath",COVID-19
"sneezing, mild headache, sore throat",Common Cold
"sore throat, mild headache, sneezing",Common Cold
"vomiting, headache",Migraine
"sneezing, nasal congestion",Allergic Rhinitis
"loss of taste, high fever, dry cough, fatigue, shortness of breath",COVID-19
"chest pain, fever, cough",Pneumonia
"loss of taste, shortness of breath, high fever, dry cough, fatigue",COVID-19
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"chest pain, weight loss, persistent cough",Tuberculosis
"nausea, vomiting, diarrhea, fever",Gastroenteritis
"runny nose, mild headache",Common Cold
"loss of taste, dry cough, high fever, shortness of breath",COVID-19
"itchy eyes, runny nose",Allergic Rhinitis
"high fever, dry cough",COVID-19
"cough, fatigue, fever, sore throat, muscle pain",Flu
"shortness of breath, coughing, wheezing, chest tightness",Asthma
"diarrhea, nausea, abdominal pain, fever, vomiting",Gastroenteritis
"mild headache, sneezing, runny nose, sore throat",Common Cold
"fever, rash",Chickenpox
"chest discomfort, fatigue",Bronchitis
"muscle pain, fever, cough",Flu
"fatigue, dry cough, loss of taste",COVID-19
"itchy eyes, nasal congestion",Allergic Rhinitis
"nasal congestion, itchy eyes, sneezing",Allergic Rhinitis
"sore throat, muscle pain, fatigue, chills",Flu
"high fever, headache, nausea",Malaria
"high fever, chills, sweats, headache, nausea",Malaria
"headache, high fever",Meningitis
"vomiting, abdominal pain, fever, diarrhea, nausea",Gastroenteritis
"stiff neck, sensitivity to light, headache",Meningitis
"fatigue, cough, chills, sore throat",Flu
"high fever, muscle pain, rash, joint pain, headache",Dengue
"sensitivity to light, high fever",Meningitis
"chest discomfort, persistent cough with mucus",Bronchitis
"persistent cough, chest pain",Tuberculosis
"vomiting, dizziness, light sensitivity, nausea, headache",Migraine
"chest pain, cough, fever, shortness of breath",Pneumonia
"chills, cough, fatigue, muscle pain, sore throat",Flu
"headache, muscle pain, high fever, joint pain, rash",Dengue
"itchy eyes, nasal congestion",Allergic Rhinitis
"chest pain, night sweats, persistent cough",Tuberculosis
"sneezing, runny nose",Common Cold
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"fatigue, loss of appetite, rash, fever",Chickenpox
"rash, loss of appetite",Chickenpox
"abdominal pain, vomiting, nausea, fever",Gastroenteritis
"cough, shortness of breath, chest pain",Pneumonia
"night sweats, weight loss, persistent cough",Tuberculosis
"headache, high fever, sensitivity to light, stiff neck",Meningitis
"runny nose, sneezing",Allergic Rhinitis
"sneezing, runny nose, itchy eyes, nasal congestion",Allergic Rhinitis
"shortness of breath, chest tightness",Asthma
"shortness of breath, cough, fever, chest pain",Pneumonia
"runny nose, nasal congestion, headache, facial pain",Sinusitis
"high fever, joint pain, rash, headache",Dengue
"high fever, rash, headache, joint pain, muscle pain",Dengue
"high fever, sensitivity to light, stiff neck, headache",Meningitis
"muscle pain, chills, fever, cough, fatigue",Flu
"nasal congestion, sneezing, itchy eyes, runny nose",Allergic Rhinitis
"weight loss, chest pain",Tuberculosis
"stiff neck, headache",Meningitis
"headache, nasal congestion",Sinusitis
"headache, nasal congestion, facial pain",Sinusitis
"chest pain, shortness of breath",Pneumonia
"light sensitivity, headache, vomiting, nausea",Migraine
"nasal congestion, sneezing, runny nose",Allergic Rhinitis
"nasal congestion, runny nose, sneezing",Allergic Rhinitis
"rash, joint pain",Dengue
"sneezing, runny nose, itchy eyes",Allergic Rhinitis
"stiff neck, high fever, sensitivity to light",Meningitis
"chest tightness, coughing, shortness of breath, wheezing",Asthma
"shortness of breath, fatigue, dry cough, loss of taste",COVID-19
"nausea, abdominal pain, fever, vomiting",Gastroenteritis
"stiff neck, sensitivity to light",Meningitis
"joint pain, muscle pain",Dengue
"fever, loss of appetite, fatigue",Chickenpox
"headache, nasal congestion, runny nose",Sinusitis
"high fever, headache, stiff neck",Meningitis
"high fever, headache, stiff neck, sensitivity to light",Meningitis
"headache, sensitivity to light",Meningitis
"vomiting, light sensitivity, nausea, dizziness, headache",Migraine
"chest tightness, coughing",Asthma
"nausea, vomiting, dizziness",Migraine
"sneezing, runny nose",Allergic Rhinitis
"loss of taste, dry cough, fatigue, shortness of breath",COVID-19
"sneezing, runny nose, sore throat",Common Cold
"sore throat, fever, muscle pain",Flu
"loss of appetite, fever, fatigue",Chickenpox
"shortness of breath, wheezing",Asthma
"weight loss, persistent cough, chest pain",Tuberculosis
"chest discomfort, persistent cough with mucus",Bronchitis
"light sensitivity, nausea, dizziness, vomiting, headache",Migraine
"headache, joint pain, muscle pain, high fever, rash",Dengue
"night sweats, chest pain, weight loss",Tuberculosis
"fatigue, cough",Flu
"fever, cough, chest pain, shortness of breath",Pneumonia
"night sweats, chest pain",Tuberculosis
"persistent cough with mucus, chest discomfort, fatigue",Bronchitis
"itchy eyes, runny nose",Allergic Rhinitis
"vomiting, diarrhea",Gastroenteritis
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"facial pain, runny nose, nasal congestion, headache",Sinusitis
"nasal congestion, itchy eyes, runny nose, sneezing",Allergic Rhinitis
"headache, nausea",Migraine
"abdominal pain, nausea, diarrhea, fever, vomiting",Gastroenteritis
"vomiting, abdominal pain, fever",Gastroenteritis
"nausea, diarrhea, fever",Gastroenteritis
"sore throat, runny nose, sneezing, mild headache",Common Cold
"muscle pain, sore throat, chills",Flu
"persistent cough with mucus, chest discomfort",Bronchitis
"itchy eyes, nasal congestion, runny nose, sneezing",Allergic Rhinitis
"chest pain, night sweats, weight loss",Tuberculosis
"sore throat, mild headache",Common Cold
"nausea, high fever, sweats, chills, headache",Malaria
"fatigue, fever, muscle pain",Flu
"fever, nausea",Gastroenteritis
"wheezing, coughing, chest tightness, shortness of breath",Asthma
"chest discomfort, fatigue",Bronchitis
"facial pain, runny nose, nasal congestion, headache",Sinusitis
"chills, high fever",Malaria
"nasal congestion, facial pain",Sinusitis
"cough, muscle pain, fever, fatigue, sore throat",Flu
"chest pain, cough, shortness of breath, fever",Pneumonia
"shortness of breath, chest tightness",Asthma
"nasal congestion, sneezing, runny nose",Allergic Rhinitis
"sneezing, itchy eyes, nasal congestion",Allergic Rhinitis
"rash, joint pain, high fever, muscle pain",Dengue
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"nausea, vomiting, abdominal pain",Gastroenteritis
"shortness of breath, chest tightness",Asthma
"high fever, fatigue, shortness of breath",COVID-19
"facial pain, runny nose",Sinusitis
"headache, runny nose, facial pain, nasal congestion",Sinusitis
"wheezing, chest tightness, coughing",Asthma
"nausea, diarrhea, vomiting, abdominal pain, fever",Gastroenteritis
"nasal congestion, headache",Sinusitis
"sore throat, runny nose, mild headache, sneezing",Common Cold
"shortness of breath, chest tightness",Asthma
"rash, fever, loss of appetite, fatigue",Chickenpox
"nasal congestion, runny nose, sneezing",Allergic Rhinitis
"shortness of breath, high fever",COVID-19
"fatigue, chills, muscle pain, cough, fever",Flu
"weight loss, persistent cough",Tuberculosis
"sensitivity to light, stiff neck, headache, high fever",Meningitis
"chest pain, weight loss, persistent cough, night sweats",Tuberculosis
"joint pain, high fever, rash, muscle pain, headache",Dengue
"fever, chest pain, shortness of breath, cough",Pneumonia
"loss of appetite, rash, fatigue, fever",Chickenpox
"mild headache, sore throat, sneezing",Common Cold
"dry cough, fatigue, shortness of breath, loss of taste, high fever",COVID-19
"facial pain, runny nose, headache, nasal congestion",Sinusitis
"sensitivity to light, headache, high fever, stiff neck",Meningitis
"runny nose, sneezing",Allergic Rhinitis
"sneezing, nasal congestion, itchy eyes, runny nose",Allergic Rhinitis
"cough, fever",Pneumonia
"headache, nausea, sweats, chills, high fever",Malaria
"runny nose, sneezing, mild headache",Common Cold
"headache, joint pain, high fever, muscle pain",Dengue
"chills, muscle pain",Flu
"vomiting, nausea, light sensitivity",Migraine
"high fever, fatigue",COVID-19
"nausea, vomiting, headache, dizziness, light sensitivity",Migraine
"nasal congestion, sneezing, itchy eyes",Allergic Rhinitis
"chills, sweats, headache",Malaria
"sneezing, itchy eyes",Allergic Rhinitis
"itchy eyes, sneezing, runny nose, nasal congestion",Allergic Rhinitis
"cough, shortness of breath, fever",Pneumonia
"rash, high fever",Dengue
"high fever, headache, joint pain",Dengue
"joint pain, muscle pain, high fever, headache",Dengue
"vomiting, dizziness",Migraine
"joint pain, high fever, rash, headache, muscle pain",Dengue
"loss of taste, high fever, fatigue",COVID-19
"facial pain, nasal congestion",Sinusitis
"dry cough, fatigue, high fever, loss of taste, shortness of breath",COVID-19
"weight loss, persistent cough, night sweats, chest pain",Tuberculosis
"fever, sore throat, chills",Flu
"fever, fatigue, rash, loss of appetite",Chickenpox
"shortness of breath, wheezing",Asthma
"runny nose, itchy eyes, sneezing, nasal congestion",Allergic Rhinitis
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"high fever, rash",Dengue
"persistent cough, night sweats, chest pain",Tuberculosis
"headache, chills, high fever, nausea, sweats",Malaria
"muscle pain, sore throat, chills, fever, cough",Flu
"runny nose, sneezing, nasal congestion, itchy eyes",Allergic Rhinitis
"chest tightness, wheezing, coughing",Asthma
"nasal congestion, runny nose, itchy eyes, sneezing",Allergic Rhinitis
"fatigue, chest discomfort",Bronchitis
"itchy eyes, sneezing",Allergic Rhinitis
"weight loss, chest pain, night sweats",Tuberculosis
"fever, loss of appetite, fatigue, rash",Chickenpox
"chest pain, persistent cough, weight loss, night sweats",Tuberculosis
"headache, sweats, chills",Malaria
"headache, rash, joint pain",Dengue
"vomiting, abdominal pain, nausea, diarrhea, fever",Gastroenteritis
"chills, muscle pain, cough, fever, sore throat",Flu
"diarrhea, vomiting, fever, abdominal pain",Gastroenteritis
"sore throat, sneezing, runny nose",Common Cold
"headache, rash, high fever",Dengue
"sneezing, runny nose, nasal congestion",Allergic Rhinitis
"high fever, headache",Meningitis
"high fever, dry cough, loss of taste, shortness of breath",COVID-19
"loss of appetite, rash, fatigue, fever",Chickenpox
"headache, high fever, sensitivity to light, stiff neck",Meningitis
"runny nose, facial pain, headache",Sinusitis
"high fever, headache, chills, sweats, nausea",Malaria
"facial pain, headache, nasal congestion",Sinusitis
"rash, headache",Dengue
"stiff neck, sensitivity to light",Meningitis
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"chest pain, persistent cough, night sweats, weight loss",Tuberculosis
"shortness of breath, fever",Pneumonia
"wheezing, chest tightness, coughing",Asthma
"nasal congestion, runny nose",Allergic Rhinitis
"sweats, chills, nausea, high fever, headache",Malaria
"chest tightness, shortness of breath, coughing",Asthma
"nasal congestion, runny nose, headache, facial pain",Sinusitis
"nausea, high fever, headache, chills",Malaria
"weight loss, night sweats",Tuberculosis
"muscle pain, sore throat, fatigue, fever",Flu
"cough, chest pain, fever",Pneumonia
"light sensitivity, vomiting, headache, dizziness, nausea",Migraine
"facial pain, nasal congestion, headache, runny nose",Sinusitis
"sneezing, itchy eyes, runny nose",Allergic Rhinitis
"chest pain, fever, cough",Pneumonia
"headache, high fever, sweats, chills",Malaria
"chest pain, cough, shortness of breath, fever",Pneumonia
"sneezing, runny nose, itchy eyes",Allergic Rhinitis
"dry cough, high fever",COVID-19
"rash, fatigue, fever, loss of appetite",Chickenpox
"chest discomfort, persistent cough with mucus",Bronchitis
"chest discomfort, persistent cough with mucus, fatigue",Bronchitis
"headache, vomiting, light sensitivity, dizziness",Migraine
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"sneezing, mild headache",Common Cold
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"fever, shortness of breath, chest pain",Pneumonia
"persistent cough with mucus, chest discomfort, fatigue",Bronchitis
"nasal congestion, facial pain, runny nose",Sinusitis
"sneezing, mild headache, runny nose",Common Cold
"cough, chills",Flu
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"persistent cough, night sweats, weight loss, chest pain",Tuberculosis
"runny nose, sneezing, mild headache, sore throat",Common Cold
"sore throat, sneezing, runny nose",Common Cold
"nasal congestion, sneezing, runny nose",Allergic Rhinitis
"stiff neck, high fever",Meningitis
"nausea, sweats, high fever",Malaria
"diarrhea, nausea, abdominal pain, vomiting, fever",Gastroenteritis
"wheezing, chest tightness, shortness of breath, coughing",Asthma
"mild headache, sneezing, sore throat, runny nose",Common Cold
"sore throat, fatigue, cough, fever",Flu
"high fever, headache",Meningitis
"headache, facial pain, nasal congestion, runny nose",Sinusitis
"sweats, chills",Malaria
"high fever, headache, muscle pain",Dengue
"headache, runny nose, facial pain",Sinusitis
"loss of taste, high fever",COVID-19
"night sweats, chest pain, weight loss, persistent cough",Tuberculosis
"fever, rash",Chickenpox
"chest pain, night sweats",Tuberculosis
"headache, sensitivity to light, stiff neck",Meningitis
"rash, high fever",Dengue
"loss of taste, high fever, dry cough, fatigue, shortness of breath",COVID-19
"persistent cough, chest pain, weight loss",Tuberculosis
"persistent cough with mucus, chest discomfort, fatigue",Bronchitis
"high fever, rash",Dengue
"fatigue, muscle pain, sore throat",Flu
"night sweats, chest pain",Tuberculosis
"persistent cough with mucus, fatigue",Bronchitis
"itchy eyes, runny nose, nasal congestion",Allergic Rhinitis
"night sweats, weight loss, persistent cough",Tuberculosis
"chest tightness, shortness of breath",Asthma
"chest pain, night sweats",Tuberculosis
"diarrhea, vomiting",Gastroenteritis
"nasal congestion, sneezing, itchy eyes",Allergic Rhinitis
"loss of taste, shortness of breath, dry cough, high fever, fatigue",COVID-19
"chest tightness, wheezing, coughing",Asthma
"rash, joint pain, high fever, muscle pain, headache",Dengue
"loss of appetite, rash, fever, fatigue",Chickenpox
"sore throat, fatigue",Flu
"chest discomfort, persistent cough with mucus, fatigue",Bronchitis
"shortness of breath, high fever, fatigue",COVID-19
"loss of taste, shortness of breath, high fever, dry cough",COVID-19
"fever, nausea, vomiting, diarrhea",Gastroenteritis
"headache, chills, nausea, high fever",Malaria
"joint pain, headache, muscle pain, rash",Dengue
"sensitivity to light, stiff neck",Meningitis
"nausea, chills, high fever, sweats",Malaria
"chest pain, fever, cough",Pneumonia
"facial pain, nasal congestion",Sinusitis
"night sweats, persistent cough, chest pain, weight loss",Tuberculosis
"cough, shortness of breath, chest pain, fever",Pneumonia
"high fever, headache",Meningitis
"sore throat, fever, chills",Flu
"muscle pain, joint pain, headache, high fever, rash",Dengue
"light sensitivity, nausea",Migraine
"persistent cough with mucus, chest discomfort, fatigue",Bronchitis
"nausea, headache, light sensitivity",Migraine
"light sensitivity, dizziness",Migraine
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"runny nose, sore throat",Common Cold
"fever, rash",Chickenpox
"runny nose, nasal congestion, itchy eyes, sneezing",Allergic Rhinitis
"headache, muscle pain, joint pain, rash, high fever",Dengue
"sweats, nausea, chills, headache, high fever",Malaria
"sensitivity to light, stiff neck, headache",Meningitis
"high fever, stiff neck, sensitivity to light, headache",Meningitis
"chills, fatigue",Flu
"fever, sore throat, cough, muscle pain",Flu
"runny nose, headache",Sinusitis
"chest pain, shortness of breath, fever",Pneumonia
"itchy eyes, runny nose, sneezing",Allergic Rhinitis
"sneezing, runny nose, nasal congestion",Allergic Rhinitis
"joint pain, muscle pain",Dengue
"sneezing, itchy eyes, runny nose",Allergic Rhinitis
"shortness of breath, coughing, chest tightness, wheezing",Asthma
"runny nose, sneezing, mild headache",Common Cold
"shortness of breath, cough, chest pain, fever",Pneumonia
"stiff neck, high fever, sensitivity to light, headache",Meningitis
"nausea, vomiting, abdominal pain, diarrhea, fever",Gastroenteritis
"sneezing, itchy eyes, runny nose, nasal congestion",Allergic Rhinitis
"high fever, chills, nausea",Malaria
"runny nose, sneezing, itchy eyes",Allergic Rhinitis
"cough, fever, shortness of breath, chest pain",Pneumonia
"weight loss, night sweats, chest pain",Tuberculosis
"rash, high fever, headache, joint pain",Dengue
"shortness of breath, cough, fever, chest pain",Pneumonia
"night sweats, weight loss",Tuberculosis
"light sensitivity, headache, dizziness",Migraine
"high fever, joint pain, rash, headache",Dengue
"headache, stiff neck",Meningitis
"chest pain, weight loss, persistent cough",Tuberculosis
"night sweats, weight loss, chest pain",Tuberculosis
"diarrhea, abdominal pain, nausea, fever",Gastroenteritis
"weight loss, chest pain, persistent cough, night sweats",Tuberculosis
"dry cough, loss of taste, shortness of breath, fatigue, high fever",COVID-19
"headache, joint pain",Dengue
"fever, chest pain",Pneumonia
"fatigue, cough, chills, fever",Flu
"sneezing, mild headache, sore throat, runny nose",Common Cold
"muscle pain, rash, high fever, headache",Dengue
"muscle pain, rash, joint pain",Dengue
"coughing, shortness of breath",Asthma
"nausea, high fever",Malaria
"sneezing, mild headache, runny nose",Common Cold
"nausea, diarrhea, fever",Gastroenteritis
"headache, light sensitivity, dizziness, vomiting, nausea",Migraine
"runny nose, facial pain",Sinusitis
"coughing, chest tightness, wheezing",Asthma
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"sore throat, sneezing",Common Cold
"light sensitivity, dizziness",Migraine
"chest discomfort, persistent cough with mucus",Bronchitis
"high fever, sweats",Malaria
"headache, stiff neck",Meningitis
"high fever, dry cough, shortness of breath, loss of taste, fatigue",COVID-19
"fever, rash",Chickenpox
"fever, rash",Chickenpox
"fatigue, shortness of breath",COVID-19
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"fever, cough",Pneumonia
"cough, fever, chest pain, shortness of breath",Pneumonia
"shortness of breath, chest tightness, wheezing",Asthma
"fatigue, fever, rash",Chickenpox
"coughing, wheezing, chest tightness, shortness of breath",Asthma
"headache, runny nose",Sinusitis
"sneezing, runny nose, mild headache, sore throat",Common Cold
"high fever, muscle pain, rash, headache, joint pain",Dengue
"light sensitivity, headache",Migraine
"headache, stiff neck, high fever, sensitivity to light",Meningitis
"persistent cough, night sweats",Tuberculosis
"weight loss, night sweats",Tuberculosis
"nasal congestion, headache, facial pain",Sinusitis
"sensitivity to light, high fever, headache",Meningitis
"chest pain, night sweats, persistent cough",Tuberculosis
"rash, muscle pain, high fever, headache, joint pain",Dengue
"dry cough, fatigue, shortness of breath",COVID-19
"nasal congestion, runny nose",Allergic Rhinitis
"nausea, dizziness, vomiting, headache",Migraine
"coughing, wheezing, shortness of breath, chest tightness",Asthma
"dizziness, nausea",Migraine
"fever, loss of appetite, rash",Chickenpox
"nausea, headache, light sensitivity, vomiting",Migraine
"muscle pain, chills, cough, fatigue, fever",Flu
"dizziness, nausea, light sensitivity",Migraine
"runny nose, headache, facial pain",Sinusitis
"night sweats, chest pain, persistent cough, weight loss",Tuberculosis
"persistent cough with mucus, chest discomfort",Bronchitis
"night sweats, persistent cough, chest pain",Tuberculosis
"nasal congestion, runny nose, facial pain, headache",Sinusitis
"fatigue, rash, loss of appetite",Chickenpox
"rash, loss of appetite, fever, fatigue",Chickenpox
"sensitivity to light, headache",Meningitis
"cough, chest pain, fever",Pneumonia
"headache, nausea, light sensitivity",Migraine
"cough, fatigue",Flu
"fatigue, persistent cough with mucus",Bronchitis
"runny nose, headache, facial pain, nasal congestion",Sinusitis
"shortness of breath, cough",Pneumonia
"cough, fever",Pneumonia
"facial pain, nasal congestion, runny nose, headache",Sinusitis
"diarrhea, fever, nausea, vomiting, abdominal pain",Gastroenteritis
"fatigue, fever, loss of appetite, rash",Chickenpox
"runny nose, itchy eyes, sneezing",Allergic Rhinitis
"cough, fever",Flu
"fever, cough",Flu
"joint pain, muscle pain, rash, high fever, headache",Dengue
"runny nose, nasal congestion, itchy eyes",Allergic Rhinitis
"nausea, high fever, chills, headache, sweats",Malaria
"headache, muscle pain, rash, joint pain, high fever",Dengue
"vomiting, nausea, abdominal pain, fever, diarrhea",Gastroenteritis
"high fever, dry cough",COVID-19
"sensitivity to light, headache, stiff neck, high fever",Meningitis
"persistent cough, chest pain, night sweats",Tuberculosis
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"sweats, headache, high fever, nausea, chills",Malaria
"fever, nausea, diarrhea",Gastroenteritis
"cough, shortness of breath",Pneumonia
"sweats, nausea",Malaria
"loss of appetite, rash, fever",Chickenpox
"loss of taste, dry cough, high fever",COVID-19
"cough, fever, shortness of breath",Pneumonia
"mild headache, runny nose, sneezing",Common Cold
"vomiting, nausea",Gastroenteritis
"high fever, headache, stiff neck, sensitivity to light",Meningitis
"loss of appetite, fever, fatigue",Chickenpox
"fatigue, persistent cough with mucus",Bronchitis
"runny nose, sneezing, nasal congestion",Allergic Rhinitis
"itchy eyes, nasal congestion, runny nose",Allergic Rhinitis
"headache, stiff neck, sensitivity to light",Meningitis
"sore throat, runny nose",Common Cold
"sweats, high fever",Malaria
"high fever, chills, headache, nausea",Malaria
"nasal congestion, runny nose",Allergic Rhinitis
"dry cough, fatigue, high fever, loss of taste, shortness of breath",COVID-19
"headache, facial pain",Sinusitis
"loss of appetite, fatigue, rash",Chickenpox
"fever, vomiting, nausea, diarrhea, abdominal pain",Gastroenteritis
"muscle pain, joint pain, headache",Dengue
"rash, high fever, headache, muscle pain",Dengue
"sneezing, runny nose, mild headache",Common Cold
"rash, headache, muscle pain",Dengue
"shortness of breath, wheezing, chest tightness",Asthma
"runny nose, headache, facial pain, nasal congestion",Sinusitis
"sneezing, mild headache, sore throat, runny nose",Common Cold
"chest pain, weight loss, persistent cough",Tuberculosis
"chills, sore throat, fever, cough",Flu
"rash, fever, loss of appetite, fatigue",Chickenpox
"loss of appetite, fatigue, rash",Chickenpox
"sore throat, sneezing, runny nose, mild headache",Common Cold
"headache, dizziness, vomiting, light sensitivity, nausea",Migraine
"nausea, fever, vomiting, diarrhea, abdominal pain",Gastroenteritis
"sore throat, mild headache, sneezing",Common Cold
"sweats, high fever, chills, headache",Malaria
"shortness of breath, fever, chest pain, cough",Pneumonia
"persistent cough, chest pain",Tuberculosis
"sneezing, sore throat, runny nose, mild headache",Common Cold
"fever, fatigue",Chickenpox
"chest discomfort, persistent cough with mucus",Bronchitis
"fever, cough, chest pain",Pneumonia
"chest pain, cough, shortness of breath",Pneumonia
"coughing, chest tightness, shortness of breath",Asthma
"sore throat, mild headache, sneezing, runny nose",Common Cold
"shortness of breath, coughing, wheezing, chest tightness",Asthma
"rash, joint pain, high fever, headache, muscle pain",Dengue
"chills, fever, fatigue, muscle pain",Flu
"abdominal pain, fever, nausea, diarrhea",Gastroenteritis
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"rash, fatigue, fever",Chickenpox
"high fever, sweats, chills, nausea, headache",Malaria
"chest pain, night sweats, weight loss",Tuberculosis
"nasal congestion, runny nose, sneezing, itchy eyes",Allergic Rhinitis
"headache, nasal congestion, runny nose, facial pain",Sinusitis
"nausea, high fever, chills, headache, sweats",Malaria
"dry cough, loss of taste, shortness of breath, high fever",COVID-19
"chest pain, persistent cough, weight loss, night sweats",Tuberculosis
"runny nose, itchy eyes, nasal congestion, sneezing",Allergic Rhinitis
"shortness of breath, cough, fever, chest pain",Pneumonia
"nasal congestion, facial pain",Sinusitis
"chills, cough, muscle pain, fatigue, sore throat",Flu
"muscle pain, high fever, rash, joint pain, headache",Dengue
"chest pain, persistent cough",Tuberculosis
"headache, high fever, chills, nausea, sweats",Malaria
"fever, fatigue, rash, loss of appetite",Chickenpox
"wheezing, coughing",Asthma
"joint pain, headache, high fever",Dengue
"itchy eyes, sneezing, nasal congestion, runny nose",Allergic Rhinitis
"high fever, headache",Dengue
"rash, fatigue, loss of appetite, fever",Chickenpox
"headache, nausea",Malaria
"fever, loss of appetite, rash, fatigue",Chickenpox
"dry cough, fatigue, high fever, loss of taste, shortness of breath",COVID-19
"runny nose, headache, nasal congestion",Sinusitis
"nausea, chills, headache, high fever",Malaria
"itchy eyes, nasal congestion, runny nose, sneezing",Allergic Rhinitis
"nasal congestion, itchy eyes",Allergic Rhinitis
"fever, nausea, vomiting, abdominal pain",Gastroenteritis
"sneezing, itchy eyes, nasal congestion",Allergic Rhinitis
"night sweats, weight loss, persistent cough, chest pain",Tuberculosis
"high fever, muscle pain, rash, headache, joint pain",Dengue
"headache, high fever, stiff neck",Meningitis
"vomiting, nausea, light sensitivity",Migraine
"fever, abdominal pain, vomiting, diarrhea, nausea",Gastroenteritis
"fatigue, loss of taste, high fever",COVID-19
"headache, nausea, light sensitivity, dizziness",Migraine
"fever, abdominal pain, vomiting, nausea",Gastroenteritis
"fever, chest pain",Pneumonia
"fatigue, chest discomfort",Bronchitis
"chest pain, cough, fever",Pneumonia
"cough, sore throat, muscle pain",Flu
"runny nose, sneezing, itchy eyes",Allergic Rhinitis
"nasal congestion, runny nose",Allergic Rhinitis
"headache, runny nose",Sinusitis
"chest tightness, shortness of breath, coughing",Asthma
"facial pain, nasal congestion",Sinusitis
"stiff neck, sensitivity to light",Meningitis
"rash, joint pain, high fever, muscle pain",Dengue
"fever, chest pain, shortness of breath, cough",Pneumonia
"sore throat, chills, fever, fatigue, muscle pain",Flu
"rash, headache",Dengue
"persistent cough, chest pain",Tuberculosis
"coughing, wheezing",Asthma
"high fever, nausea, sweats",Malaria
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"headache, runny nose, nasal congestion",Sinusitis
"vomiting, fever, nausea, diarrhea, abdominal pain",Gastroenteritis
"rash, headache",Dengue
"headache, sensitivity to light, stiff neck",Meningitis
"night sweats, persistent cough, weight loss",Tuberculosis
"itchy eyes, sneezing, nasal congestion, runny nose",Allergic Rhinitis
"weight loss, chest pain, persistent cough, night sweats",Tuberculosis
